#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic (desc)
123,socialdemokraternajokkmokk.se,subdomains,194.9.94.86,,1.2,63578398,2,1,0,0,2,2,5,2,2,1,0,0,0,0,0,0,0,0
109,exchangeforum.se,subdomains,194.9.94.86,,1.2,63638734,5,5,0,0,13,11,2,22,22,0,0,0,0,0,0,0,0,0
121,gewaconsulting.se,subdomains,93.188.2.54,,1.2,63647388,5,3,0,0,6,6,2,11,11,3,0,0,0,0,0,0,0,0
57,siljansbygdensrfk.se,subdomains,194.9.94.85,,1.2,63655314,8,6,0,0,9,9,3,34,34,3,0,0,0,0,0,0,0,0
93,delaykliniken.se,subdomains,194.9.94.86,,1.2,63954868,14,8,0,0,18,17,1,33,33,14,0,0,0,0,0,0,0,0
78,akretus.se,subdomains,194.9.94.85,,1.2,64175371,6,4,0,1,6,6,1,10,10,2,0,0,0,0,0,1,0,0
107,overkalixmotorklubb.se,subdomains,194.9.94.86,,1.2,64226404,26,26,0,0,28,26,3,59,59,0,0,29,0,0,0,0,0,0
97,annebergsbostader.se,subdomains,194.9.94.85,,1.2,64255412,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
177,rej-design.se,subdomains,194.9.94.86,,1.2,64508620,4,2,0,0,4,4,1,4,4,2,0,0,0,0,0,0,0,0
74,foreningenalltomautism.se,subdomains,194.9.94.85,,1.2,64763725,20,18,0,0,23,19,3,52,52,21,0,0,0,0,0,0,0,0
73,comfortuddevalla.se,subdomains,194.9.94.86,,1.2,64769068,4,3,0,0,3,3,3,6,6,1,0,0,0,0,0,0,0,0
181,sotenasbiodlarna.se,subdomains,194.9.94.86,,1.1,65094689,6,5,0,0,6,6,3,22,22,4,0,0,0,0,0,0,0,0
96,wolfenstein.nu,subdomains,194.9.94.86,,1.1,65211292,25,18,0,0,22,19,3,90,90,16,0,0,0,0,0,0,0,0
100,osterakerspartiet.se,subdomains,194.9.94.85,,1.1,65248039,6,3,0,0,6,6,3,7,7,3,0,1,0,0,0,0,0,0
68,sk4wv.se,subdomains,94.46.48.19,,1.1,65700008,13,8,0,0,13,13,19,51,45,6,6,8,0,0,0,0,0,0
124,taxisoder.se,subdomains,194.9.94.85,,1.1,65726802,4,2,0,0,4,4,1,4,4,2,0,0,0,0,0,0,0,0
3,taxisälen.nu,subdomains,185.133.206.152,,1.1,65726824,7,2,0,0,19,13,3,55,53,51,2,10,0,0,0,0,76,187
152,jamlikhetromer.se,subdomains,,,1.1,65827939,2,2,0,0,3,3,1,5,5,0,0,0,0,0,0,0,0,0
21,kimkardashian.nu,subdomains,91.201.60.88,,1.1,65951886,9,4,0,0,9,9,0,72,72,65,0,0,0,0,0,0,17,10
125,varmt-kallt.se,subdomains,,,1.1,66662472,17,15,0,0,19,16,0,64,64,45,0,0,0,0,0,0,0,0
45,railways.se,subdomains,35.228.132.196,,1.1,66703001,23,11,0,0,20,20,8,2304,2302,16,2,1,0,0,0,0,1,0
161,radonbesiktningar.nu,subdomains,188.114.96.2,,1.1,66741168,2,2,0,0,2,2,3,4,4,0,0,0,0,0,0,0,0,0
162,radonbesiktningar.com,subdomains,,,1.1,66741171,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0
191,sodertaljegymnasieskolor.se,subdomains,35.228.132.196,,1,66835941,14,1,0,0,5,2,1,65,3,0,62,0,0,0,0,0,0,0
137,springjbm.se,subdomains,,,1,66945284,6,5,0,0,6,6,2,12,12,1,0,0,0,0,0,0,0,0
192,uppsalatjejjour.se,subdomains,194.9.94.85,,1,66963362,5,3,0,0,7,7,1,9,9,3,0,3,0,0,0,0,0,0
53,mapinfo.nu,subdomains,194.9.94.86,,1,66970943,4,2,0,1,4,4,4,5,5,2,0,1,0,0,0,1,0,0
80,barcampguayaquil.org,subdomains,194.9.94.85,,1,67131890,23,17,0,1,48,36,3,398,396,14,2,237,0,0,0,240,0,0
144,universitetskyrkan.nu,subdomains,194.9.94.85,,1,67187439,13,12,0,1,4,3,2,27,27,1,0,1,0,0,0,5,0,0
75,stoltsfastigheter.se,subdomains,194.9.94.85,,1,67439948,4,2,0,0,3,3,1,6,6,2,0,4,0,0,0,0,0,0
106,vetlandapowerhouse.se,subdomains,194.9.94.86,,1,67496658,2,2,0,0,2,2,7,3,3,0,0,0,0,0,0,0,0,0
116,stenalder.se,subdomains,194.9.94.85,,1,67502947,2,2,0,1,2,2,3,3,3,0,0,0,0,0,0,2,0,0
88,ljunghalls.se,subdomains,194.9.94.86,,1,67567698,1,1,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0
5,upphovsratt.nu,subdomains,94.46.50.162,,1,67662210,13,13,0,0,15,15,15,206,205,0,1,0,0,0,0,0,15,3
185,helleforskarna.se,subdomains,194.9.94.86,,1,67833511,1,1,0,0,2,1,5,3,3,0,0,0,0,0,0,0,0,0
126,dagvattendans.se,subdomains,194.9.94.85,,1,67843675,1,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0
127,skaneskyrkor.se,subdomains,,,1,67924294,13,7,0,0,15,13,0,3809,3809,27,0,0,0,0,0,0,0,0
54,brfgronfinken.se,subdomains,194.9.94.86,,1,67933791,1,1,0,0,1,1,5,1,1,0,0,0,0,0,0,0,0,0
109,snohemt.se,subdomains,194.9.94.85,,1,68091918,1,1,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0
39,trafiksakerhetspriset.se,subdomains,194.9.94.86,,1,68194054,5,4,0,0,7,7,3,11,11,5,0,0,0,0,0,0,0,0
128,kriskommissionen.se,subdomains,194.9.94.86,,1,68366765,7,6,0,0,16,16,7,25,25,2,0,1,0,0,0,0,0,0
76,x-in.se,subdomains,185.196.36.34,,1,68592128,12,10,0,1,22,19,1,121,121,37,0,11,0,0,0,1,0,0
87,limadeli.se,subdomains,194.9.94.85,,1,68602307,10,5,0,0,10,10,4,23,23,9,0,0,0,0,0,0,0,0
104,lagmansholmholsfiber.se,subdomains,194.9.94.86,,1,68647757,5,5,0,0,5,5,3,14,14,0,0,6,0,0,0,0,0,0
155,granforsen.se,subdomains,194.9.94.86,,0.9,68657377,2,2,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0
53,skidsm2019.se,subdomains,188.114.237.5,,0.9,68747120,6,4,0,0,8,8,12,22,22,5,0,1,0,0,0,0,0,0
189,gammalkatolik.se,subdomains,35.228.119.231,,0.9,69030048,100,35,0,1,80,74,0,405,405,255,0,0,0,0,0,2,0,0
79,hoforsinsuomiseura.se,subdomains,194.9.94.85,,0.9,69094340,1,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0
193,bliflygmekaniker.nu,subdomains,194.9.94.86,,0.9,69568698,5,3,0,0,7,7,5,11,9,4,2,0,0,0,0,0,0,0
