Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2024-03-14 09:00:20,2024-03-14 09:00:20,Exchange to EUR,-600.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-03-18 22:02:38,2024-03-18 22:03:03,Top-Up by *7097,2000.00,0.00,SEK,COMPLETED,2000.00
EXCHANGE,Current,2024-03-18 22:06:22,2024-03-18 22:06:22,Exchange to EUR,-2000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-03 21:03:14,2024-04-03 21:03:22,Top-Up by *7097,936.00,0.00,SEK,COMPLETED,936.00
EXCHANGE,Current,2024-04-03 21:03:33,2024-04-03 21:03:33,Exchange to EUR,-936.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-04 01:02:12,2024-04-04 01:02:17,Top-Up by *7097,270.00,0.00,SEK,COMPLETED,270.00
EXCHANGE,Current,2024-04-04 01:02:27,2024-04-04 01:02:27,Exchange to EUR,-270.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-12 19:23:02,2024-04-12 19:23:08,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-04-12 21:48:10,2024-04-12 21:48:10,Exchange to EUR,-645.50,0.00,SEK,COMPLETED,354.50
CARD_PAYMENT,Current,2024-04-12 19:24:30,2024-04-13 12:37:56,Formatgeria,-354.50,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-18 16:50:55,2024-04-18 16:51:00,Top-Up by *7097,826.00,0.00,SEK,COMPLETED,826.00
EXCHANGE,Current,2024-04-18 17:40:43,2024-04-18 17:40:43,Exchange to EUR,-783.34,0.00,SEK,COMPLETED,42.66
CARD_PAYMENT,Current,2024-04-18 16:51:54,2024-04-19 16:06:15,El Corte Inglés,-42.66,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-20 23:12:55,2024-04-20 23:12:59,Top-Up by *7097,300.00,0.00,SEK,COMPLETED,300.00
EXCHANGE,Current,2024-04-20 23:13:18,2024-04-20 23:13:18,Exchange to EUR,-300.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-22 14:16:11,2024-04-22 14:16:17,Top-Up by *7097,900.00,0.00,SEK,COMPLETED,900.00
TOPUP,Current,2024-04-22 14:16:25,2024-04-22 14:16:30,Top-Up by *7097,900.00,0.00,SEK,COMPLETED,1800.00
EXCHANGE,Current,2024-04-22 14:16:43,2024-04-22 14:16:43,Exchange to EUR,-1800.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-22 14:44:15,2024-04-22 14:44:22,Top-Up by *7097,200.00,0.00,SEK,COMPLETED,200.00
EXCHANGE,Current,2024-04-22 14:44:33,2024-04-22 14:44:33,Exchange to EUR,-200.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-25 13:04:00,2024-04-25 13:04:03,Top-Up by *7097,218.00,0.00,SEK,COMPLETED,218.00
EXCHANGE,Current,2024-04-25 13:04:20,2024-04-25 13:04:20,Exchange to EUR,-218.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-25 17:36:38,2024-04-25 17:36:43,Top-Up by *7097,500.00,0.00,SEK,COMPLETED,500.00
EXCHANGE,Current,2024-04-25 17:36:55,2024-04-25 17:36:55,Exchange to SEK,500.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-04-25 17:37:14,2024-04-25 17:37:14,Exchange to SEK,131.35,0.00,SEK,COMPLETED,1131.35
EXCHANGE,Current,2024-04-25 17:37:25,2024-04-25 17:37:25,Exchange to EUR,-1131.35,0.00,SEK,COMPLETED,0.00
CARD_REFUND,Current,2024-04-26 02:00:00,2024-04-26 15:34:55,GoDaddy,229.85,0.00,SEK,COMPLETED,229.85
EXCHANGE,Current,2024-04-26 18:00:03,2024-04-26 18:00:03,Exchange to EUR,-229.85,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-04-27 13:17:21,2024-04-27 13:17:28,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
