Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-12-04 15:58:35,2024-12-05 14:18:31,Panineria,-144.95,0.00,SEK,COMPLETED,200.00
CARD_PAYMENT,Current,2024-12-04 10:52:07,2024-12-05 15:34:28,bet365,-200.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-07 12:22:29,2024-12-07 12:22:30,Apple Pay Top-Up by *0722,194.00,0.00,SEK,COMPLETED,194.00
TOPUP,Current,2024-12-07 12:58:35,2024-12-07 12:58:36,Apple Pay Top-Up by *3659,542.00,0.00,SEK,COMPLETED,736.00
EXCHANGE,Current,2024-12-07 12:59:09,2024-12-07 12:59:09,Exchange to EUR,-736.00,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-12-07 15:42:26,2024-12-07 15:42:26,Transfer from Revolut user,500.00,0.00,SEK,COMPLETED,500.00
EXCHANGE,Current,2024-12-07 16:20:28,2024-12-07 16:20:28,Exchange to EUR,-500.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-07 19:26:29,2024-12-07 19:26:31,Apple Pay Top-Up by *0722,550.00,0.00,SEK,COMPLETED,550.00
EXCHANGE,Current,2024-12-07 19:27:09,2024-12-07 19:27:09,Exchange to EUR,-550.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-07 23:41:29,2024-12-07 23:41:31,Apple Pay Top-Up by *3659,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-12-07 23:42:35,2024-12-07 23:42:35,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-07 23:43:33,2024-12-07 23:43:34,Apple Pay Top-Up by *3659,457.00,0.00,SEK,COMPLETED,457.00
EXCHANGE,Current,2024-12-07 23:50:38,2024-12-07 23:50:38,Exchange to EUR,-457.00,0.00,SEK,COMPLETED,0.00
CARD_CREDIT,Current,2024-12-08 17:27:51,2024-12-08 17:27:51,Spooniker,100.00,0.00,SEK,COMPLETED,100.00
EXCHANGE,Current,2024-12-08 17:28:24,2024-12-08 17:28:24,Exchange to EUR,-100.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-11 11:52:06,2024-12-11 11:52:07,Apple Pay Top-Up by *3659,1089.00,0.00,SEK,COMPLETED,1089.00
EXCHANGE,Current,2024-12-11 11:54:23,2024-12-11 11:54:23,Exchange to EUR,-1089.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-21 00:31:57,2024-12-21 00:31:58,Apple Pay Top-Up by *3659,700.00,0.00,SEK,COMPLETED,700.00
EXCHANGE,Current,2024-12-21 00:32:09,2024-12-21 00:32:09,Exchange to EUR,-700.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-23 10:02:43,2024-12-23 10:02:45,Apple Pay Top-Up by *0722,2000.00,0.00,SEK,COMPLETED,2000.00
CARD_PAYMENT,Current,2024-12-23 11:18:36,2024-12-24 10:37:11,Mercadona,-429.86,0.00,SEK,COMPLETED,1570.14
CARD_PAYMENT,Current,2024-12-23 12:25:46,2024-12-24 10:41:06,Palma Bread,-46.14,0.00,SEK,COMPLETED,1524.00
TRANSFER,Current,2024-12-24 11:55:59,2024-12-24 11:56:00,"Revolut Bank UAB, Sucursal en España",-100.00,0.00,SEK,COMPLETED,1424.00
CARD_PAYMENT,Current,2024-12-25 00:41:37,,Uber,-130.04,0.00,SEK,REVERTED,
TOPUP,Current,2024-12-25 03:03:42,2024-12-25 03:03:43,Apple Pay Top-Up by *0722,2000.00,0.00,SEK,COMPLETED,3424.00
EXCHANGE,Current,2024-12-25 03:03:57,2024-12-25 03:03:57,Exchange to EUR,-2716.72,0.00,SEK,COMPLETED,707.28
CARD_PAYMENT,Current,2024-12-24 16:47:04,2024-12-25 09:29:41,Estanc Palma,-57.99,0.00,SEK,COMPLETED,649.29
CARD_PAYMENT,Current,2024-12-24 10:49:09,2024-12-25 10:14:22,Mistral Coffee House,-77.33,0.00,SEK,COMPLETED,571.96
CARD_PAYMENT,Current,2024-12-25 01:56:57,2024-12-26 09:53:15,EPIC Palma,-480.98,0.00,SEK,COMPLETED,90.98
CARD_PAYMENT,Current,2024-12-25 02:55:15,2024-12-26 09:53:53,Taxi 1071 Palma,-90.98,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-29 14:14:38,2024-12-29 14:14:39,Apple Pay Top-Up by *3659,1205.00,0.00,SEK,COMPLETED,1205.00
EXCHANGE,Current,2024-12-29 14:14:55,2024-12-29 14:14:55,Exchange to EUR,-1205.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-30 11:25:45,2024-12-30 11:25:46,Apple Pay Top-Up by *3659,1205.00,0.00,SEK,COMPLETED,1205.00
TOPUP,Current,2024-12-30 11:26:01,2024-12-30 11:26:02,Apple Pay Top-Up by *3659,1205.00,0.00,SEK,COMPLETED,2410.00
TOPUP,Current,2024-12-30 11:26:16,2024-12-30 11:26:17,Apple Pay Top-Up by *3659,1205.00,0.00,SEK,COMPLETED,3615.00
TOPUP,Current,2024-12-30 11:26:35,2024-12-30 11:26:36,Apple Pay Top-Up by *3659,1205.00,0.00,SEK,COMPLETED,4820.00
TOPUP,Current,2024-12-30 11:27:03,2024-12-30 11:27:04,Apple Pay Top-Up by *3659,180.00,0.00,SEK,COMPLETED,5000.00
TRANSFER,Current,2024-12-30 11:27:21,2024-12-30 11:27:22,"Revolut Bank UAB, Sucursal en España",-5000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-30 15:59:47,2024-12-30 15:59:48,Apple Pay Top-Up by *3659,400.00,0.00,SEK,COMPLETED,400.00
EXCHANGE,Current,2024-12-30 15:59:57,2024-12-30 15:59:57,Exchange to EUR,-400.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-30 19:49:07,2024-12-30 19:49:08,Apple Pay Top-Up by *3659,250.00,0.00,SEK,COMPLETED,250.00
EXCHANGE,Current,2024-12-30 19:50:03,2024-12-30 19:50:03,Exchange to EUR,-250.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-31 19:28:33,2024-12-31 19:28:34,Apple Pay Top-Up by *3659,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-12-31 19:28:48,2024-12-31 19:28:48,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
